template-construction,allele-decision,no-match-fallback,output-packing,mutate-fill,seed,historical-combine-occupants,historical-dynamic-occupants,explored-status,terminal-rule-diversity,phenotype-activity-last-third,death-step,trajectory-sha256
context-quadruple-four-candidates,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,20,0.0,7,4e6ab697e0109601c1e774ead2c7e5771a6d854b9ca29134a19834dc0dae4ff1
context-quadruple-four-candidates,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,25,0.0,6,8a3cb920abcfe0a7dc46069997713ad73114105dbbf7325ed4ffdf7cecb748a9
context-quadruple-four-candidates,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,37,0.008750000000000003,120,89d67dc39f2bdbecb8f838c523dda9a14e90f8c8868ff812a9bcde7b4117ab13
context-quadruple-four-candidates,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,33,0.013125000000000001,119,3bd766e10bf066a825d76e98fe1c948c8165c37f8d0d8927a89df77ef66a4743
context-quadruple-four-candidates,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,41,0.0056250000000000015,120,a8c60565198e5268aba069454c161887b68491bf2d8600cff961fa60f477a17a
context-quadruple-four-candidates,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,64,0.22843750000000002,120,902d86f8aafd30395ed2d2419a2ba25ae9b1890470c9e27315c8fad0d81f89c6
context-quadruple-four-candidates,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,59,0.22281249999999994,120,8c3cb26a5028c6d514427b1324e9d525229a905eb438619b8b3212ddb1fa5472
context-quadruple-four-candidates,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,56,0.244375,120,17617ce1c9fa93b45818fda4b63cdf5ffc94befb35e4645fedea8494ab1ec4dd
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,22,0.0,8,4becb4988cf32db531e16f683371c1a65c05bf0730b91aff4ff109f504724f3a
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,20,0.0,7,4e6ab697e0109601c1e774ead2c7e5771a6d854b9ca29134a19834dc0dae4ff1
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,25,0.0,6,8a3cb920abcfe0a7dc46069997713ad73114105dbbf7325ed4ffdf7cecb748a9
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,37,0.008750000000000003,120,89d67dc39f2bdbecb8f838c523dda9a14e90f8c8868ff812a9bcde7b4117ab13
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,33,0.013125000000000001,119,3bd766e10bf066a825d76e98fe1c948c8165c37f8d0d8927a89df77ef66a4743
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,41,0.0056250000000000015,120,a8c60565198e5268aba069454c161887b68491bf2d8600cff961fa60f477a17a
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,64,0.22843750000000002,120,902d86f8aafd30395ed2d2419a2ba25ae9b1890470c9e27315c8fad0d81f89c6
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,59,0.22281249999999994,120,8c3cb26a5028c6d514427b1324e9d525229a905eb438619b8b3212ddb1fa5472
context-quadruple-four-candidates,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,56,0.244375,120,17617ce1c9fa93b45818fda4b63cdf5ffc94befb35e4645fedea8494ab1ec4dd
context-quadruple-four-candidates,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,1,ad-hoc-template;mutating-template,ad-hoc-template,historical-combine,8,0.06000000000000001,120,633bb6ac87092eedd9925fd6cc29fefeb5784189cb262c01072d15a12e6f0bf2
context-quadruple-four-candidates,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,2,ad-hoc-template;mutating-template,ad-hoc-template,historical-combine,13,0.012500000000000006,120,e4643580a40da498c096ff47538e71677a19a1b52f85fda351e9d6dd9dac1108
context-quadruple-four-candidates,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,3,ad-hoc-template;mutating-template,ad-hoc-template,historical-combine,15,0.10000000000000005,120,39d7a457d97411092112a4c0b1a1db8d45e64690d2893774e8f3735d4730d33f
context-quadruple-four-candidates,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,1,ad-hoc-template;mutating-template,,historical-combine,34,0.4765625,120,ca00934e2030d2c014bc5cfeb6750955adb93f446b7c984ad661b2620cafb877
context-quadruple-four-candidates,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,2,ad-hoc-template;mutating-template,,historical-combine,29,0.5746874999999999,120,c77c3d42aaa28be4317d6d50c20c15d0dcfd3f2c834efcca6f1c07e0de8b98c5
