sigma,death-seeds,terminal-rules-seeds,cluster,pc1,pc2,death-mean,death-range,terminal-rules-mean,phenotype-activity-per-cell,entropy-early,entropy-middle,entropy-late,entropy-terminal,top1-terminal,top4-terminal,active-rules-terminal,terminal-rule-flux,class4-early,class4-middle,class4-late,class4-terminal,class4-peak,entropy-delta
26374501,118|120|115,10|14|6,0,3.43887434,-1.88468053,117.666667,5.00000000,10.0000000,0.0523148148,0.472805384,0.306741940,0.274251833,0.281467050,0.427777778,0.894444444,10.0000000,0.150000000,0.0130555556,0.000555555556,0.000135501355,0.00000000,0.0777777778,-0.198553551
26475103,120|120|120,7|23|14,0,1.93479952,-1.57232981,120.000000,0.00000000,14.6666667,0.104537037,0.551718954,0.435216633,0.371124012,0.328070132,0.400000000,0.794444444,14.6666667,0.144444444,0.0330555556,0.00486111111,0.00257452575,0.00000000,0.111111111,-0.180594942
26475301,120|115|120,12|16|30,1,0.678244944,-1.93074843,118.333333,5.00000000,19.3333333,0.121342593,0.537312147,0.480237491,0.452762849,0.420559456,0.322222222,0.638888889,19.3333333,0.216666667,0.0169444444,0.00541666667,0.00758807588,0.0111111111,0.0722222222,-0.0845492978
26543170,120|120|120,1|1|1,0,6.83524478,-0.868876513,120.000000,0.00000000,1.00000000,0.436250000,0.436929145,0.0635707383,-0.00000000,-0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00875000000,0.000138888889,0.00000000,0.00000000,0.0611111111,-0.436929145
40125376,120|120|120,13|15|24,1,0.0366265027,-1.15823198,120.000000,0.00000000,17.3333333,0.350324074,0.588374836,0.528203157,0.483540270,0.425702482,0.266666667,0.633333333,17.3333333,0.188888889,0.0162500000,0.0444444444,0.0207317073,0.00555555556,0.116666667,-0.104834565
40125673,120|120|120,29|20|46,1,-2.37709389,-1.80051610,120.000000,0.00000000,31.6666667,0.367685185,0.592741321,0.552165720,0.571717709,0.567156103,0.155555556,0.361111111,31.6666667,0.361111111,0.0144444444,0.0133333333,0.0115176152,0.0111111111,0.0555555556,-0.0210236123
40163275,120|120|86,3|4|1,0,5.37527685,11.3847336,108.666667,34.0000000,2.66666667,0.313750000,0.552818934,0.307523291,0.135492444,0.0526185430,0.922222222,1.00000000,2.66666667,0.0222222222,0.202638889,0.556111111,0.786991870,0.922222222,0.927777778,-0.417326490
40167523,120|120|120,36|31|23,1,-2.09453780,0.910223247,120.000000,0.00000000,30.0000000,0.359629630,0.617647208,0.592039482,0.564472000,0.537922106,0.200000000,0.444444444,30.0000000,0.272222222,0.131527778,0.120694444,0.0983739837,0.0777777778,0.283333333,-0.0531752076
40261357,120|120|120,38|32|36,1,-3.41195446,-1.12204418,120.000000,0.00000000,35.3333333,0.344027778,0.621620230,0.614490043,0.615620488,0.605531885,0.100000000,0.300000000,35.3333333,0.461111111,0.0401388889,0.0454166667,0.0452574526,0.0333333333,0.150000000,-0.00599974133
40321576,120|120|120,18|10|13,1,1.53776990,-1.55481149,120.000000,0.00000000,13.6666667,0.246203704,0.506710098,0.443170324,0.406102258,0.364296643,0.394444444,0.700000000,13.6666667,0.127777778,0.0186111111,0.0126388889,0.00975609756,0.00000000,0.0722222222,-0.100607840
40351627,120|120|120,29|33|33,1,-2.78850682,-0.397119003,120.000000,0.00000000,31.6666667,0.365972222,0.632765057,0.578620809,0.585250031,0.575500431,0.150000000,0.333333333,31.6666667,0.405555556,0.0673611111,0.0527777778,0.0684281843,0.0722222222,0.188888889,-0.0475150264
40367125,120|120|120,40|35|17,1,-2.51682338,4.94767478,120.000000,0.00000000,30.6666667,0.466851852,0.582183307,0.517413769,0.520465846,0.552630111,0.161111111,0.388888889,30.6666667,0.400000000,0.167916667,0.351805556,0.358807588,0.288888889,0.594444444,-0.0617174610
40372516,120|120|120,33|36|35,1,-2.68925734,-0.483064268,120.000000,0.00000000,34.6666667,0.418287037,0.630898808,0.564907457,0.540329184,0.596900315,0.127777778,0.316666667,34.6666667,0.327777778,0.0463888889,0.0475000000,0.0674796748,0.0944444444,0.161111111,-0.0905696238
40513672,120|120|77,8|3|1,0,5.96323927,0.115466558,105.666667,43.0000000,4.00000000,0.153009259,0.580545832,0.284293731,0.147755994,0.0880514612,0.872222222,0.966666667,4.00000000,0.0444444444,0.0837500000,0.0622222222,0.0830623306,0.0166666667,0.233333333,-0.432789838
40516237,120|120|120,20|19|24,1,-0.517936535,0.393837967,120.000000,0.00000000,21.0000000,0.303750000,0.636545118,0.548896574,0.507950220,0.439769616,0.338888889,0.600000000,21.0000000,0.238888889,0.0858333333,0.117500000,0.0777777778,0.0944444444,0.211111111,-0.128594897
40516732,120|120|120,23|24|31,1,-1.84845842,1.07512948,120.000000,0.00000000,26.0000000,0.288425926,0.643919305,0.593060325,0.563201836,0.516804550,0.177777778,0.483333333,26.0000000,0.316666667,0.106666667,0.114722222,0.141734417,0.161111111,0.288888889,-0.0807174684
40716235,120|120|120,22|22|25,1,-1.52135713,0.786749580,120.000000,0.00000000,23.0000000,0.273055556,0.649937464,0.591020331,0.560153504,0.494431508,0.161111111,0.516666667,23.0000000,0.300000000,0.0584722222,0.143750000,0.119647696,0.150000000,0.316666667,-0.0897839598
